file,line,url,status,latency_ms,ok,error
"编年/2025/01.md",71,"https://api-docs.deepseek.com/zh-cn/news/news250120",200,92,true,""
"编年/2025/01.md",75,"https://cloud.tencent.com/developer/article/2491379",200,1501,true,""
"编年/2025/01.md",73,"https://arxiv.org/abs/2501.12948",200,2274,true,""
"编年/2025/01.md",72,"https://zh.wikipedia.org/wiki/DeepSeek-R1",200,3223,true,""
"编年/2025/02.md",70,"https://openai.com/index/introducing-gpt-4-5/",200,0,true,""
"编年/2025/01.md",81,"https://huggingface.co/deepseek-ai/DeepSeek-R1-0528",200,5124,true,""
"编年/2025/04.md",109,"https://ai.meta.com/blog/llama-4-multimodal-intelligence/",200,2971,true,""
"编年/2025/03.md",50,"https://blog.google/technology/google-deepmind/gemini-model-thinking-updates-march-2025/",200,1991,true,""
"编年/2025/06.md",49,"https://zhuanlan.zhihu.com/p/1916067576737400654",403,67,false,""
"编年/2025/06.md",50,"https://zhuanlan.zhihu.com/p/1915601328211759191",403,38,false,""
"编年/2025/04.md",111,"https://openai.com/index/introducing-o3-and-o4-mini/",200,0,true,""
"编年/2025/04.md",112,"https://github.com/QwenLM/Qwen3",200,3404,true,""
"编年/2025/02.md",71,"https://www.anthropic.com/news/claude-3-7-sonnet","",7349,false,"Timeout (3000ms)"
"编年/2025/05.md",57,"https://www.anthropic.com/news/claude-4","",4026,false,"Timeout (3000ms)"
